# Generated from ../data/13JUL2013/000.dat
time T_rw T_rw_desired T_s T_s_desired
29.32 -9.63881 -9.63881 0.261176 0.261176
29.34 -10.3156 -10.3156 0.391881 0.391881
29.36 -10.176 -10.176 0.0725296 0.0725296
29.38 -9.76279 -9.76279 0.227086 0.227086
29.4 -9.64748 -9.64748 0.413689 0.413689
29.42 -9.61621 -9.61621 0.0692839 0.0692839
29.44 -7.56255 -7.56255 0.0753408 0.0753408
29.46 -7.28279 -7.28279 0.427381 0.427381
29.48 -8.40441 -8.40441 0.219076 0.219076
29.5 -8.5633 -8.5633 0.168734 0.168734
29.52 -8.42571 -8.42571 0.315242 0.315242
29.54 -9.27783 -9.27783 0.219065 0.219065
29.56 -7.61269 -7.61269 0.253143 0.253143
29.58 -8.12706 -8.12706 0.349455 0.349455
29.6 -8.48986 -8.48986 0.36143 0.36143
29.62 -8.78488 -8.78488 0.256579 0.256579
29.64 -8.49385 -8.49385 0.35783 0.35783
29.66 -8.92758 -8.92758 0.273229 0.273229
29.68 -8.34406 -8.34406 0.169893 0.169893
29.7 -7.02455 -7.02455 0.188032 0.188032
29.72 -8.5348 -8.5348 0.160154 0.160154
29.74 -8.8031 -8.8031 0.227568 0.227568
29.76 -9.01993 -9.01993 0.298131 0.298131
29.78 -6.8436 -6.8436 0.286603 0.286603
29.8 -7.4713 -7.4713 0.313393 0.313393
29.82 -7.95866 -7.95866 0.328896 0.328896
29.84 -7.93871 -7.93871 0.332946 0.332946
29.86 -8.26524 -8.26524 0.29363 0.29363
29.88 -6.82723 -6.82723 0.183155 0.183155
29.9 -7.09583 -7.09583 0.169198 0.169198
29.92 -6.46563 -6.46563 0.189481 0.189481
29.94 -6.66401 -6.66401 0.210844 0.210844
29.96 -7.737 -7.737 0.0823156 0.0823156
29.98 -7.882 -7.882 0.129381 0.129381
30 -8.2553 -8.2553 0.113787 0.113787
